Disease,Foods_to_Eat,Foods_to_Avoid,Nutritional_Note
Type 2 Diabetes,"Whole grains (brown rice, oats); Non-starchy vegetables (spinach, broccoli); Legumes; Lean proteins (chicken, fish); Nuts; Berries; Greek yogurt",Sugary drinks; White bread; Pastries; Sweets; Processed meats; Fried foods,Aim for low-glycemic foods with high fiber to maintain stable blood sugar levels.
Hypertension,"Fruits; Vegetables; Whole grains; Low-fat dairy; Lean meats; Fish; Nuts; Potassium-rich foods (bananas, spinach)",High-salt foods; Pickles; Processed meats; Chips; Excessive alcohol; Sugary snacks,Follow the DASH diet; reducing sodium and increasing potassium helps lower blood pressure.
Heart Disease / High Cholesterol,"Oats; Barley; Fatty fish (salmon, tuna); Legumes; Olive oil; Nuts; Fruits; Vegetables",Butter; Cheese; Fried foods; Red meats; Processed bakery products with trans fats,Focus on soluble fiber and unsaturated fats to reduce LDL cholesterol.
Chronic Kidney Disease (CKD),"Low-sodium meals; Lean proteins in moderation; Low-potassium fruits (apple, berries); White rice; Cauliflower","High-sodium foods; Processed snacks; Dark sodas; High-potassium fruits (banana, orange); Red meat","Control intake of sodium, potassium, and phosphorus as per medical advice."
Fatty Liver (NAFLD),Vegetables; Fruits; Whole grains; Olive oil; Fish; Legumes (Mediterranean diet),Sugar-rich drinks; Refined carbs; Processed meats; Fried foods,Weight loss and high-antioxidant foods reduce liver fat buildup.
GERD / Acid Reflux,Non-citrus fruits; Oatmeal; Lean proteins; Green veggies; Low-fat dairy,Spicy foods; Coffee; Chocolate; Citrus fruits; Tomatoes; Alcohol,"Eat smaller meals, avoid lying down soon after eating; identify trigger foods."
Celiac Disease,"Gluten-free grains (rice, corn, quinoa, millet); Vegetables; Fruits; Lean meats; Dairy",Wheat; Barley; Rye; Spelt; Foods containing gluten,Strict gluten-free diet required for intestinal healing.
IBS (Low-FODMAP),Low-FODMAP foods: Rice; Oats; Firm tofu; Carrots; Cucumber; Strawberries,High-FODMAP foods: Garlic; Onion; Apples; Beans; Wheat products,Follow Monash Low-FODMAP protocol to identify personal triggers.
Gout,Low-purine foods: Eggs; Dairy; Vegetables; Whole grains; Cherries,Organ meats; Shellfish; Alcohol (especially beer); Sugary drinks,Maintain hydration and avoid high-purine foods to control uric acid levels.
Obesity / Weight Management,Fruits; Vegetables; Whole grains; Lean proteins; Legumes; Water,Fast food; Sugary drinks; Fried foods; Sweets; Refined carbs,Choose nutrient-dense foods; maintain a calorie deficit and regular activity.
Iron-Deficiency Anemia,Lean meats; Beans; Spinach; Fortified cereals; Citrus fruits,Tea/coffee during meals; Processed snacks,Combine iron-rich foods with vitamin C to improve absorption.
Hypothyroidism,"Iodized salt; Selenium-rich foods (brazil nuts, eggs); Zinc-rich foods (pumpkin seeds)",Raw cruciferous vegetables in excess; Soy near medication time,Ensure adequate iodine intake and proper medication timing.
Asthma,"Fruits (apple, banana); Leafy vegetables; Ginger; Turmeric; Omega-3-rich fish","Sulfite-containing foods (dried fruits, wine); Processed snacks",Antioxidant-rich foods help reduce airway inflammation.
Arthritis (Osteo/Rheumatoid),Omega-3-rich fish; Olive oil; Berries; Green leafy vegetables,Red meat; Processed sugars; Fried foods; Refined carbs,Anti-inflammatory foods reduce joint pain and stiffness.
PCOS / PCOD,Whole grains; High-fiber foods; Lean proteins; Green leafy vegetables,Refined carbs; Sugary foods; Processed snacks,Maintain balanced diet and low-glycemic index foods to manage insulin levels.
Cancer (Supportive Diet),Fruits; Vegetables; Whole grains; Lean proteins; Green tea; Turmeric,Processed meats; Alcohol; Sugary drinks; Fried foods,Antioxidants and plant-based foods support immune function during recovery.
Depression / Mental Health Support,Whole grains; Omega-3-rich fish; Nuts; Leafy greens; Berries,Excess sugar; Alcohol; Processed fast food,Nutrients like omega-3 and B vitamins aid brain health and mood stability.
Anemia (General),Iron-rich foods; Legumes; Spinach; Pomegranate; Jaggery; Vitamin C-rich fruits,Tea; Coffee; Fried foods; Low-nutrient snacks,Iron and folate intake are key to improving red blood cell count.
